ASV,MeanRelAbund,SD,Treatment,Time,Taxon,SamplesCombined
ASV1,34.86166666666667,35.44225773470608,Ciprofloxacin Low,12,ASV1,12
ASV3,3.701666666666667,6.873265511231091,Ciprofloxacin Low,12,ASV3,12
ASV7,0.5166666666666666,0.9426783249032643,Ciprofloxacin Low,12,ASV7,12
ASV4,1.1283333333333332,2.6678756729016824,Ciprofloxacin Low,24,ASV4,12
ASV8,1.08,3.635471708795785,Ciprofloxacin Low,24,ASV8,12
ASV9,0,0,Ciprofloxacin Low,24,ASV9,12
ASV10,0.46666666666666673,1.616580753730952,Ciprofloxacin Low,24,ASV10,12
ASV2,1.8950000000000002,5.4394459945175235,Ciprofloxacin Low,24,ASV2,12
ASV6,1.2850000000000001,0.4768933557172638,Ciprofloxacin Low,24,ASV6,12
ASV5,9.66,19.75681976616498,Ciprofloxacin Low,24,ASV5,12
ASV1,16.171666666666667,24.203802042929812,Ciprofloxacin Low,24,ASV1,12
ASV3,6.03,10.650935938387592,Ciprofloxacin Low,24,ASV3,12
ASV7,0.5066666666666666,1.3410805231964893,Ciprofloxacin Low,24,ASV7,12
ASV4,0.45333333333333337,1.025434128315979,Ciprofloxacin Low,48,ASV4,12
ASV8,4.848333333333333,13.656104750978477,Ciprofloxacin Low,48,ASV8,12
ASV9,0,0,Ciprofloxacin Low,48,ASV9,12
ASV10,0,0,Ciprofloxacin Low,48,ASV10,12
ASV2,0.464859437751004,0.9374488910294219,Ciprofloxacin Low,48,ASV2,12
ASV6,1.8080851232578428,2.208510224258012,Ciprofloxacin Low,48,ASV6,12
ASV5,13.996196888090964,21.60681759034851,Ciprofloxacin Low,48,ASV5,12
ASV1,3.627273150050832,7.178073705542322,Ciprofloxacin Low,48,ASV1,12
ASV3,28.804999999999996,37.94931080940852,Ciprofloxacin Low,48,ASV3,12
ASV7,0.37,1.0957272387862693,Ciprofloxacin Low,48,ASV7,12
ASV4,0,0,Ciprofloxacin Low,96,ASV4,12
ASV8,3.1583333333333337,10.273398865148001,Ciprofloxacin Low,96,ASV8,12
ASV9,0,0,Ciprofloxacin Low,96,ASV9,12
ASV10,1.064073334898646,2.757526715005834,Ciprofloxacin Low,96,ASV10,12
ASV2,0.06043633090709869,0.10060652283212197,Ciprofloxacin Low,96,ASV2,12
ASV6,1.231027236440479,0.6040958273656749,Ciprofloxacin Low,96,ASV6,12
ASV5,0.8750000000000001,2.018048111869036,Ciprofloxacin Low,96,ASV5,12
ASV1,0.24166666666666667,0.20117081540247575,Ciprofloxacin Low,96,ASV1,12
ASV3,30.623788839320653,43.656394011041826,Ciprofloxacin Low,96,ASV3,12
ASV7,1.5306265163966501,3.5748220766808765,Ciprofloxacin Low,96,ASV7,12
ASV4,8.928333333333335,9.59999416035176,Ciprofloxacin High,0,ASV4,12
ASV8,1.0133333333333332,2.1668298306861837,Ciprofloxacin High,0,ASV8,12
ASV9,0.355,1.1041121484539675,Ciprofloxacin High,0,ASV9,12
ASV10,0.12166666666666667,0.37951723720186065,Ciprofloxacin High,0,ASV10,12
ASV2,12.920000000000002,19.26250620907221,Ciprofloxacin High,0,ASV2,12
ASV6,0.6416666666666667,0.30670783649867334,Ciprofloxacin High,0,ASV6,12
ASV5,2.6599999999999997,4.959413455055126,Ciprofloxacin High,0,ASV5,12
ASV1,48.35333333333333,26.19093713250421,Ciprofloxacin High,0,ASV1,12
ASV3,4.281666666666667,4.283222731740315,Ciprofloxacin High,0,ASV3,12
ASV7,0.27,0.7021784285027171,Ciprofloxacin High,0,ASV7,12
ASV4,2.0633333333333335,3.8282474825798274,Ciprofloxacin High,12,ASV4,12
ASV8,1.7311904761904762,4.53320062603605,Ciprofloxacin High,12,ASV8,12
ASV9,0,0,Ciprofloxacin High,12,ASV9,12
ASV10,0,0,Ciprofloxacin High,12,ASV10,12
ASV2,3.579569288389513,7.052898720888459,Ciprofloxacin High,12,ASV2,12
ASV6,2.54041822721598,2.123026517745949,Ciprofloxacin High,12,ASV6,12
ASV5,3.2966497235598355,4.687455108853196,Ciprofloxacin High,12,ASV5,12
ASV1,13.851825396825395,12.28341190183944,Ciprofloxacin High,12,ASV1,12
ASV3,26.321031746031746,26.592528696439686,Ciprofloxacin High,12,ASV3,12
ASV7,0.22833333333333333,0.5791817634832049,Ciprofloxacin High,12,ASV7,12
ASV4,0.006666666666666667,0.023094010767585032,Ciprofloxacin High,24,ASV4,12
ASV8,2.2375991189427316,7.484525430035544,Ciprofloxacin High,24,ASV8,12
ASV9,0,0,Ciprofloxacin High,24,ASV9,12
ASV10,0.9966666666666667,3.452554609753962,Ciprofloxacin High,24,ASV10,12
ASV2,0.7747210197210197,1.3471552966748634,Ciprofloxacin High,24,ASV2,12
ASV6,1.725190716321676,1.3436612828830943,Ciprofloxacin High,24,ASV6,12
ASV5,5.433936056294937,10.827038820213994,Ciprofloxacin High,24,ASV5,12
ASV1,7.145391136029902,11.199947725013844,Ciprofloxacin High,24,ASV1,12
ASV3,25.587723935389135,23.45664894367144,Ciprofloxacin High,24,ASV3,12
ASV7,0.27666666666666667,0.6804187658859042,Ciprofloxacin High,24,ASV7,12
ASV4,0.05818181818181818,0.19296726052976873,Ciprofloxacin High,48,ASV4,11
ASV8,0.5504044918916923,1.8254851825309542,Ciprofloxacin High,48,ASV8,11
ASV9,0,0,Ciprofloxacin High,48,ASV9,11
ASV10,0.06,0.19899748742132398,Ciprofloxacin High,48,ASV10,11
ASV2,0.33040526804260395,0.960800179073114,Ciprofloxacin High,48,ASV2,11
ASV6,3.0766569879551375,2.4592313109747854,Ciprofloxacin High,48,ASV6,11
ASV5,0.5036363636363637,1.6703728489608105,Ciprofloxacin High,48,ASV5,11
ASV1,3.2038590464578416,5.93597965395483,Ciprofloxacin High,48,ASV1,11
ASV3,34.8313152470878,34.76640661946901,Ciprofloxacin High,48,ASV3,11
ASV7,0.19636363636363635,0.6512645042879694,Ciprofloxacin High,48,ASV7,11
ASV4,0.012727272727272728,0.0422115882408869,Ciprofloxacin High,96,ASV4,11
ASV8,2.1402882282528726,3.590760806177975,Ciprofloxacin High,96,ASV8,11
ASV9,0,0,Ciprofloxacin High,96,ASV9,11
ASV10,0,0,Ciprofloxacin High,96,ASV10,11
ASV2,0.10395284934000483,0.14112027136180996,Ciprofloxacin High,96,ASV2,11
ASV6,2.315076544752224,1.1527066890807063,Ciprofloxacin High,96,ASV6,11
ASV5,0.8112786171006717,2.610786561183839,Ciprofloxacin High,96,ASV5,11
ASV1,0.5153429233178924,0.3940013170505039,Ciprofloxacin High,96,ASV1,11
ASV3,19.783438826171583,23.759173100783425,Ciprofloxacin High,96,ASV3,11
ASV7,1.8510749649642748,4.1831077437906625,Ciprofloxacin High,96,ASV7,11
